,ACITL knock-out
PRATPP,0.01151104
ASPTRS,0.036302464
TYRt6,0.0
FAO161p_even,0.0
PSERDv_RT,0.0
IMPC,-0.03396290400001516
DGTUP,0.0
PDE5,0.0
NDPK9,0.0
RNDR4n,0.0
SUCRe,0.0
TYRt7,0.0
RPE,0.35794025595318985
HEX4,0.0
ILEt7,0.0
ADNUC,0.0
DHQTi,0.034439464000007546
ORNt3m,0.028918544
LEUTAm,0.0
ECOAH6m,0.0
NADH2_u9cm,0.0
OMCDCm,0.0
FA182COAabcp,0.0
CHLPCTD,0.0
NDPK2,0.33180223200000003
ACOAH,0.0
CERS2p26er,0.0
PYK,2.6907888832488283
TRDRm,0.0
FAS180COA,0.03524846701365106
PPCOAOm,0.0
GHMT2r,-0.186711976
ACACT5p,0.0
ALLTAHr,0.0
CERS324er,0.0
PGAMT,0.0
PMEVK,0.1625371179052768
FAS80COA_L,0.039649085026267454
DHFS,0.0007179680000000133
ACGKm,0.028918544
PGCD,0.0
PPBNGS,0.000508576
PRMICI,0.01151104
PPNCL3,0.0001416799999999982
NNAMrm,0.0
PGM,-2.7596678112488435
CYTK2,0.0
MIP2C224PLCg_RT,0.0
GTMLT,0.0
ASP1DC,0.0
ETHAPTer_RT,0.0
PGMT,-0.30843147200000004
GTHRDabcv,0.0
DOLPMMer,0.148661144
DADK,0.0
DTTGY,0.0
ZYMSTt,-0.02470809965087947
ADNCYC,0.000329728
URIt2,0.0
ASPCT,0.018918512000000005
CYSTRS,0.006305496
ARGt2r,0.0
ACITL,0.0
G12MT2g,0.0
PFK_2,0.0
ABUTD,0.0
PEAMNO,0.0
ALDD2x,0.0
PDE1,0.0
IPCS224g_RT,0.0
ALKP,0.0
3HPCOAHYDm,0.0
ASNt6,0.0
DGTCY,0.0
ATPS,0.0
ACGAMPM,0.0057049200000000005
PHETA1,-0.017510176
HEX10,0.0
16GS,0.03262596
MCOATAm,0.0
NADS1n,0.0
AMPTASECG,0.0
THFGLUS,0.0
ADK1,2.1633754541132526
BTDD_RR,0.0
HMGCOAS,-0.1625371179052768
GTPCI,0.0007179680000000133
GMAND,0.0
MTHFDm,0.0
LEUTRS,0.05891772
PMETMer_RT,0.0031647999999999997
G3PD1ir,0.00033120000000000003
NNAM,0.0
GLPT,0.0
DRBK,0.0
ADNt2,0.0
UREA2t2,0.0
ASPTA,0.3419738835862711
MIPCS326g_RT,0.0
PRAMPC,0.01151104
ADSL1r,0.02283256000001514
ARGN,0.0
ICDHyp,0.0
TKT2,0.6539631083023628
SAM24MTer,0.001036104
BACCL,0.0
DUTUP,0.0
GTHOr,0.0
MTHFD,-0.209672784
ATP2tp_H,0.0004589451125129333
GLUDC,0.0
METt2r,0.0
HBCO_nadp,0.0
VALTAm,0.7155462902250562
GTHRDt2,0.0
METSOXR1,0.0
PLDn_RT,0.0
NAPRTm,0.0
FACOAL260p,0.0
PYDXNK,0.00025631199999999997
ALCD2y,2.0818334898875683
IG3PS,0.01151104
AGATer_RT,0.01559870375043111
DCTPD,0.0
CYTDt2,0.0
UPPRT,0.0
ECOAH12m,0.0007817302250258666
LCYSTCBOXL,0.0
DHAK,0.0
GRTT,0.05377055930175894
ILETRS,0.029176696
IPCS124g_RT,0.0
ILETA,-0.029176696
UREASE,0.0
PTE9m,0.0
TYRTA,-0.011610951999999999
GLCP,0.0
PYRDC,0.1690938902250271
PINOSer_RT,0.0008647999999999999
NNDPR,0.0003096720000075326
MIPC124PLCg_RT,0.0
PIt2m,30.755069298239924
PYDXO_1,0.0
RBFSa,0.000640688
PMANM,-0.148661144
METTRS,0.0104972
NADS1,0.0003096720000075326
PSERDg_RT,0.0
GLYOX,0.0
D_LACDcm,0.0
ACOAO5p,0.0
DRTPPD,0.000320344
ALASm,0.001017152
ALCD24xi,0.0
NDP3g,0.0
DAGPYPer_RT,0.007889103750431111
SPMDt3i,0.0
FACOAL100p,0.0
ACACT6m,0.0
3MOBDC,0.0
DAGKer_RT,0.0
MDHm,2.545314922385085
SERTRS,0.06198408
TALA,-0.29602285234917297
ALCD25xi,0.0
GAPD,2.7596678112488435
OIVD3m,0.0
APCPT,0.0
OCBTm,0.0
C5STDSer,0.001036104
CITtcm,0.30424878400001515
13GS,0.176180368
SHCHD2,0.0
GALKr,0.0
PTE9x,0.0
TMDPK,0.00025631199999999997
CERH126er,0.0
ACONTam,-2.0346439507987837
DCTUP,0.0
MIPC324PLCg_RT,0.0
GLYCTO1p,0.0007179680000000133
FECOSTESTH_RT,0.0
HACD7p,0.0
THRt2r,0.0
ETF,0.0
NP1,0.0
PTPATi,0.0001416799999999982
IGPS,0.110564312
ALDD20x,0.0
LYSt6,0.0
METS,0.021881096
CYSTL,0.0
PI35BP5Per_RT,0.0
NADK,0.00014628000001183639
NTD2,0.0
TRDR,0.02083984000000002
MIPCS226g_RT,0.0
CDPDGPm_RT,0.00033120000000000003
FA141COAabcp,0.0
HISTP,0.01151104
FACOAL161p,0.0
GK1,0.011130344000000014
EPISTATer_RT,0.0
ACHLE2,0.0
ACACT6p,0.0
GMPS2,0.0
ADCS,0.0007179680000000133
IMPD,0.011130344000000014
TRPTA,0.0
COAHLp,0.0
LANOSTESTH_RT,0.0
ORNTACim,0.028918544
VALt2r,0.0
C24STRer,0.001036104
ASNt7,0.0
YUMPS,0.0
PCDAGATer_RT,7.889103750431111e-05
FA161COAabcp,0.0
IPC226PLCg_RT,0.0
FAS140COA,0.039649085026267454
ACLSm,0.11047204222502605
FAO141p_odd,0.0
G6PDH2r,0.35858094395318985
PIN3Kn_RT,0.0
PSPHSer,0.000737104
PDHm,1.9034686947987522
NH4t,1.2145758763492414
GLUCYS,0.00035328
ALATRS,0.106273616
PPPGOm,6.3572e-05
DCMPDA,-0.00078844
GLNTRS,0.021693232
AMPDA,0.0
OCBT,0.0269882
ACACT1r,0.1625371179052768
ADEt2,0.0
TREH,0.0
GLUt2r,0.0
FECOSTt,0.0
BFFS,0.0
TRIGSer_RT,0.0
DDPAm,0.0
GBEZ,0.095324696
HPROb,0.0
TMPPP,0.00025631199999999997
TKT1,-0.29602285234917297
FBA,1.005884103348456
DB4PS,0.000640688
ARGSS,0.0269882
DHQS,0.034439464000007546
LEUt2r,0.0
PSCVT,0.034439464000007546
ABUTt2r,0.0
ECOAH6p,0.0
CTPS1,0.008258103999999988
LANOSTATer_RT,0.0
MIP2C226PLCg_RT,0.0
HACD5p,0.0
ACGAM6PS,0.0057049200000000005
GTHS,0.00035328
GUACYC,0.0
GLUt7m,0.21665764136126026
PRASCSi,0.022451864000015153
UTUP,0.0
PPND2,0.011610951999999999
PRAGSr,0.022451864000015153
FAS120COA,0.039649085026267454
SERPTer,0.000737104
G5SD,0.043405048
MTRI,0.13131322834915082
CYSS,0.0
GLCS2,0.0
HISt2r,0.0
ATHRDHr,0.0
DOLPMTcer,0.148661144
PEPAT,0.0
CYSTA,0.0
PROt2r,0.0
ACOAD9m,0.0007817302250258666
DROPPRx,0.000320344
PDXPP,0.0
G12MT1g,0.0
PPAm,0.1715444022250271
AIRCr,0.022451864000015153
LEUTRSm,0.0
GLYK,0.0
GTHOm,0.0
CSNATm,0.0007817302250258666
NTPP10,0.0
PUNP2,0.0
HEMEOSm,0.000127144
PIN4Kn_RT,0.0
ADSL2r,0.022451864000015153
NDPK5,0.0
ALAt2r,0.0
FAO181p_even,0.0
CSNt2,0.0
GLYCDy,0.0
ATPS3m,29.80930776925247
GLNt6,0.0
DHAD1m,0.11047204222502605
HCYSMT,0.0
HCO3E,0.7410502353352992
FKYNH,0.106273616
UMPKn,0.0
FACOAL120p,0.0
MI1345PKn,0.0
PUNP5,0.0
ARGTRS,0.0269882
HSDxi,0.080254728
TYRTAip,0.0
GLYGS,0.095324696
FBA2,0.0
ASNTRSm,0.0
H2Ot,-10.302904406336346
ASPt7,0.0
ADPRDP,0.0
PRFGS,0.022451864000015153
AMAOTrm,0.00044491200000000217
ILETAm,0.0
PSERSer_RT,0.0059248
NTRLASE,0.0
PHEt2r,0.0
UAGDP,0.0
ACACT9p,0.0
MIPCS324g_RT,0.0
AHSERL2,0.018443792000000018
ASNS1,0.0
EPISTESTH_RT,0.0
MTHFR2,0.022117168
AGTi,0.0
3DSPHRer,0.000737104
PIN4Ker_RT,0.0
PYDXNO,-0.13032698834915082
FRTT,0.0
PNTOt2,0.0
DPR,0.0001416799999999982
SBTD_D2,0.0
SERD_L,0.0
FALDH2,0.0
LYSt2r,0.0
TRE6PP,0.004300448
GLYCt2,0.0
ADMDC,0.13131322834915082
NDPK8,0.0
TYRt2r,0.0
ALCD19y,0.0
MIPC226PLCg_RT,0.0
FRUt2,0.0
ALCD22xi,0.0
ADSS,0.02283256000001514
HPRO_u9m,0.0
ARAB14LO,0.0
PETOHMer_RT,0.0031647999999999997
GTHPi,0.0
THMt2,0.0
UPP3MT,0.0
RPI,0.0
MIP2C126PLCg_RT,0.0
LSERDHr,0.0
HETZK,0.0
UPP3S,0.000127144
THIORDXm,0.0
GLCGSD,0.0
TMDS,0.000464232
XYLTD_D,0.0
VALTRS,0.050630912
URIK1,0.0
ERGSTATer_RT,0.00029439999999999995
PYAM5PO,0.0
NADH2_u9m1,0.0
IPMD,0.05891772
IPC326PLCg_RT,0.0
CHTNS,0.0057049200000000005
PTE2x,0.0
MIPCS224g_RT,0.0
MANt2,0.0
RNDR1,0.000450984
ACACT10m,0.0
SADT,0.0
NTD4,0.0
LPPer_RT,0.0
MDRPD,0.13131322834915082
CLPNSm_RT,0.00033120000000000003
2DOXG6PP,0.0
THRA,0.0
FAS160COA,0.039649085026267454
AASAD1,0.031709456
HACONTbm,0.08428183777500442
UTCY,0.0
ADCL,0.0007179680000000133
MMSAD3m,0.0
GNK,0.0
THRA2,0.0
SQLErx,0.0
NDPK4,0.000464232
PRAIS,0.022451864000015153
ACSm,0.1690938902250271
GND,0.35858094395318985
SULR,0.018443792000000018
CHLt2,0.0
FAO182p_odd,0.0
CERS326er,0.0
PUNP1m,0.0
FACOAL181,0.0
AMID3,0.0
FMETTRSm,0.0
CATp,0.00035898400000000663
LEUt6,0.0
MI4PP,0.0
FADFMNtm,0.0
SBPP1er,0.0
ACHLE3,0.0
PDE2,0.0
GUAt2r,0.0
GLUt7,0.0
PUNP1,-0.13131322834915082
EPISTt,0.0
ME2,0.0
SACCD1,0.031709456
IPPMIb,-0.05891772
C8STIer,0.001036104
IPC126PLCg_RT,0.0
PLBP1Ie_RT,0.0
APNPT,0.0
PGK,-2.7596678112488435
CTPtm,0.000535256
ORNTArm,0.0
PUNP7,0.0
ARGTRSm,0.0
ADNK1,0.1422522123491508
CYTK1,0.0
FACOAL160,0.0
RNDR4,0.001252672
MALT,0.0
ACS2,0.0
CTPS2,0.0
ORNt2r,0.0
ACONTbm,2.0346439507987837
FAO182p_even,0.0
CYSTGL,0.0075016800000000106
ECOAH4m,0.0
OPAH,0.0
THRD_L,0.021675015999999984
HISTRSm,0.0
PTE7m,0.0
PLBPC_RT,0.0
LEUt7,0.0
ADHAPRer_RT,0.01559870375043111
C22STDSer,0.001036104
SACCD2,0.031709456
ASPTAp,0.0
PFK_3,0.0
ILEt6,0.0
PROTRS,0.043405048
ACOAO8p,0.0
FBP,0.0
NMNAT,0.00025631199999999997
TRPO2,0.106273616
BPNT,0.0
IPCS126g_RT,0.0
ALCD26xi,0.0
SHCHF,0.0
PUNP4,0.0
ATPATF2,0.0
MTHFC,-0.209672784
PI4P5Kn_RT,0.0
URIDK2rn,0.0
GALt2,0.0
UNK3,0.13131322834915082
ORNDC,0.0019303440000000005
CHOLK,0.0
MIPC126PLCg_RT,0.0
IPPSm,0.05891772
VALTRSm,0.0
ALLTN,0.0
THIORDXni,0.0
NTPP11,0.0
ABTA,0.0
PYDXPP,0.000256312
SUCFUMtm,0.0
LCYSTintv,0.0
MTHFD2i,0.0
PTE10x,0.0
G3PIt,0.0
PPYRDC,0.0
ALR2,0.0
PC,0.3741250777750044
D_LACt2,0.0
GLYCt,0.0
GLYt2r,0.0
ADSK,0.0
PPCK,0.0
TCHOLAabcv,0.0
SHKK,0.034439464000007546
LYSTRS,0.031709456
MGCHrm,0.0
TAGL_RT,0.0
FRDcm,0.05335411200003029
HACD6p,0.0
4HGLSDm,0.0
FA240tp,0.0
MFAPSer_RT,0.0031647999999999997
ALDD20y,0.0
PDX5POi,0.0
GUAPRT,0.0
GLU5K,0.043405048
MIPC224PLCg_RT,0.0
CHORM,0.029121127999999996
FACOAL80,0.0
FACOAL161,0.0
CYSTAm,0.0
ILEt2r,0.0
UGLT,0.0
ITCY,0.0
GLNt2r,0.0
ADD,0.0
DASYNm_RT,0.0006624000000000001
GF6PTA,0.0057049200000000005
DADA,0.0
NDPK1,0.0
MIPC326PLCg_RT,0.0
FAO181p_odd,0.0
CERS224er,0.0
G3PT,0.00033120000000000003
FA260tp,0.0
MIP2C124PLCg_RT,0.0
ENO,2.7596678112488435
ACON3MT,0.0
HACD8p,0.0
HEX1,2.458913
MCPST,0.0
ASNt2r,0.04658245200004085
AHCi,0.010938983999999999
ADPT2,0.0
ACOTAim,0.028918544
IPCS324g_RT,0.0
ASNN,0.0
NNMT,0.0
ACACT1m,-0.05224959666249142
HACD10p,0.0
DHORTS,-0.018918512000000005
ACACT8p,0.0
PFK,1.0058841033484565
MAN1PT,0.148661144
IPC124PLCg_RT,0.0
PRDX,0.0
ACOAO6p,0.0
RNDR1n,0.0
KARA1im,0.11047204222502605
SBTD_L,0.0
ALCD22yi,0.0
DNADDP,0.0
SUCOASm,-1.5116122730237642
THRS,0.06181093599999998
SBPP2er,0.0
UMPK,0.0
PYDXK,0.0
ADPT,0.0
DNMPPA,0.0007179680000000133
MIP2C326PLCg_RT,0.0
ACOAO7p,0.0
FECOSTATer_RT,0.0
ACALDCD,0.0
AMETtm,0.0008898240000000042
CERH124er,0.0
PPA,2.8058883480185215
OMPDC,0.018918512000000005
LPCATer_RT,0.007889103750431111
MI1456PKn,0.0
IPCS326g_RT,0.0
IPPS,0.0
XPPT,0.0
ECOAH4p,0.0
RBFKm,0.0
NDPK6,0.0
ICLp,0.30424878400001515
NACt,0.0
FMNATm,0.0
IMACTD,0.0
ECOAH1m,-0.05257238177500442
FBA3,0.0
IPPMIa,-0.05891772
RNMK,0.00025631199999999997
SLFAT,0.018443792000000018
GAT1er_RT,0.0
THRTRS,0.04013592
HPYRRy,0.0
DHORDfum,0.018918512000000005
3HAO,0.0003096720000075326
MIPCS124g_RT,0.0
NNAT,0.0003096720000075326
TRPS1,0.110564312
PTE2m,0.0
PI45BPPn_RT,0.0
FA160COAabcp,0.0
CSND,0.0
SERt2r,0.0
MALTt2,0.0
DPCOAK,0.0001416799999999982
IPDDI,0.05390671930175893
HACD9m,0.0
PI3P5Kn_RT,0.0
AMETt2m,0.00040848
GALT,0.0
POLYAO3,0.0001416799999999982
DUTCP,0.0
ALATA_Lm,-0.3047781520000151
C3STDH2er,0.02682170765087947
PSERDm_RT,0.005556799999999999
ACOAHim,0.0
GDPMANNtg,0.0
RNDR3,0.0
SPRMt2i,0.0
EPGALURSe,0.0
HYPOE,0.0
PUNP3,0.0
CYTDK1,0.0
IGPDH,0.01151104
SPMDtex2,0.0
HMPK1,0.0
FACOAL240p,0.0
ACOAO9p,0.0
GLUTRSm,0.0
VALTA,-0.7661772022250563
SO3ti,0.0
TRE6PS,0.004300448
GALUi,0.30843147200000004
DPMVD,0.1625371179052768
CBPS,0.045906712
DTTUP,0.0
FACOAL100,0.0
GLUTCOADHm,0.05257238177500442
ZYMSTESTH_RT,0.0
KYN3OX,0.0003096720000075326
URIK3,0.0
CYSTS,0.0075016800000000106
MAOX,0.0
NMNATm,0.0
ALCD24yi,0.0
FDH,0.0
NICRNS,0.0
MTAP,0.13131322834915082
ASPTAm,-0.5695886915863013
CAT,0.0
SUCCtm,0.3765214080000454
ORPT,-0.018918512000000005
ATPATF3,0.0
CERS226er,0.0
URIK2,0.0
ICDHxm,1.7303951667987685
HPROa,0.0
ALLTNti,0.0
SLCBK1er,0.0
ACACT7m,0.0
PFK26,0.0
DUTPDP,0.0
FAS100COA,0.039649085026267454
ECOAH8p,0.0
DCYTD,0.0
OCOAT1m,0.0
G3PCt,0.0
GLNt7,0.0
ASPt2r,0.0
PGI,1.7867353360468101
GLYCLm,0.0
PIt2r,0.0
CHORS,0.034439464000007546
ANPRT,0.110564312
GPDDA1,0.0
PTRCtex2,0.0
ACGSm,0.0
ACS,1.0028692166515434
GLUSx,0.0
DDPA,0.034439464000007546
MAN6PI,-0.148661144
HACD1p,0.0
ACHLE1,0.0
PAL,0.0
HEMEASm,0.000127144
PTE8x,0.0
RNDR2n,0.0
PTE12x,0.0
ACONT3m,0.0
ANS,0.004600368000007529
ALLTTti,0.0
PDE3,0.0
POLYAO2,0.13044162034915083
ARMT,0.0
GTPCII,0.000320344
PRPNCOAHYDm,0.0
SUCD2_u9m,1.8881336810238096
GLUPRT,0.022451864000015153
THIORDXi,0.0
MALSp,0.0
ALDD2y,0.0
HISTD,0.01151104
ASNNe,0.0
PYDXS,0.000697912
RBFSb,0.000320344
KARA2im,0.029176696
HMGCOAR,-0.1625371179052768
PTE11m,0.0
MI145PKn,0.0
FACOAL1831,0.0
AP4AH,0.0
RNDR2,0.000692392
L_LACt2r,0.0
GUAD,0.0
INDPYRD,0.0
4MOPDC,0.0
UDPACGLP,0.0057049200000000005
LNSTLSr,0.02682170765087947
PI45BP5Per_RT,0.0
LCYSTATm,0.0
RBFK,0.00013818400000000002
ARGSL,0.0269882
FACOAL140,0.0
ZYMSTATer_RT,0.0003128
ALDD2ym,0.1690938902250271
FUMm,1.8881336810238096
MIPCS126g_RT,0.0
CERS124er,0.0
UTPtm,0.0
PNP,-0.00025631199999999997
ECOAH5p,0.0
HGNTOR,0.0
ALCD23xi,0.0
G5SADm,0.0
ME1m,0.0
FBP26,0.0
MI3PP,0.0008647999999999999
PRPPS,0.16375540000002267
HSDy,0.0
NNATm,0.0
ECOAH11p,0.0
GLCt1,2.458913
ECOAH7m,0.0
ASNTRS,0.01986648
ADK4m,0.1696655782250271
TRPt2r,0.0
PPM,-0.13156954034915083
ERGSTESTH_RT,0.0
THIORDXp,0.0
MTHFR3,0.0
PEPDt3,0.0
PTE10m,0.0
ORNTA,0.0
PUNP6,0.0
SO4ti,0.6358476683493169
AGPRim,0.028918544
ALDD2xm,0.0
HMR_6515,0.0
GLNS,0.13573588000003786
FA181COAabcp,0.0
PSERSm_RT,0.0
UPPDC1,0.000127144
FTHFLmi,0.0
MCITL2m,0.0
PANTS,0.0001416799999999982
FACOAL180,0.0
HMBS,0.000127144
ACCOAC,0.32101844556029485
SQLEr,0.02682170765087947
HISt6,0.0
FUMAC,0.0
ACHBSm,0.029176696
ATPPRT,0.01151104
METAT,0.14314203634915082
MM3,0.0
FACOAE1829Z12Z,0.0
METSOXR2,0.0
FACOAE100,0.0
PYNP2r,0.0
CHOLSH,0.0
I4FE4STm,0.0
NO3t,0.0
UACMAMO,0.0
FACOAE140,0.0
SDPTA,0.0
F6PP,0.0
ORNCD,0.0
UDPDOLPT,0.0
GDPTPDP,0.0
ACOAR5m,0.0
XYLK,0.0
VNDH,0.0
AAMYLASE,0.0
APNn,0.0
UDPGDC,0.0
LIPOCTm,0.0
TGUAt,0.0
ADSHm,0.0
HACD3m,0.0
G12MT3,0.0
G6PP,0.0
NADHXD2,0.0
NA1tm,0.0
MANPGH,0.0
ULA4NFT,0.0
GLCNACT,0.0
LYSTRSm,0.0
ACPT1819Z1819Z,0.0
BTS,0.0
NARK,0.0
CYOO6m,4.885856841015135
2HESR,0.0
NTD6,0.0
3AMACHYD,0.0
ADNtm,0.0
MSAR,0.0
MALCOAMT,0.0
ACANTHAT,0.0
ALDD3y,0.0
GNP,0.0
MLTP2,0.0
SPMDtmr,0.0
CYANST,0.0
NTPP1,0.0
HPYRP,0.0
ACKrm,0.0
GGPTRCS,0.0
FACOAE180,0.0
BTP,0.0
INSH,0.0
BADP,0.0
DNAMTn2r,0.0
CHOLID,0.0
PYDXOR,-0.13007067634915082
PPA2,0.0
UGLYCH,0.0
56DH5FLURAAMH,0.0
ASPTRSm,0.0
I2FE2SS2m,0.0
DKGLCNR1,0.0
34DHPHAMT,0.0
PGP1819Z160t,0.0
13BGHe,0.0
LCARSyi,0.0
TRE6PH,0.0
VNDH_3,0.0
ACACT1p,0.0003227851125129333
3HCINNMH,0.0
IMPDm,0.0
I2FE2SSm,0.0
DHPS2,0.0007179680000000133
UPPDC2,0.0
DHCURR,0.0
FACOAE161,0.0
HEMELm,0.0
FORA,0.0
ACACT5m,0.0
URATEtm,0.0
NTD11,0.0
GLYCK,0.0
LKDRA,0.0
LIPAMPLm,0.000571688
GLCNACPT,0.0
THMPe,0.0
ACOAD5p,0.0
HACD4m,0.0
Cu1ATPase,0.0
ACOAD6p,0.0
FTHFD,0.0
FACOAE1836Z9Z12Z,0.0
GRXR,0.0
TDPDRR,0.0
MG3A,0.0
GOFUCR,0.0
GPDDA2,0.0
NTPP2,0.0
ACOXT,0.0
THRTRSm,0.0
PE1819Z1819Zt,0.0
PAIL1819Z160t,0.0
GDPDPK,0.0
PHDA,0.0
TM1601819Z,0.0
PNSPA,0.0
AMID_1,0.0
MOCOS,0.0
GDMANE,0.0
MDHp,-0.00013616
ACOAR6m,0.0
APSR,0.018443792000000018
NTD1,0.0
6MPURPRT,0.0
NTD7,0.0
MN6PP,0.0
ETHAK,0.0
CMPA,0.0
NADHHS,0.0
MTHFCx,0.0
ACOAD7p,0.0
BDMT,0.0
5DGLCNR,0.0
ACOAD2m,0.0
MM1,0.0
ACOAD3p,0.0
MUCCY_kt,0.0
FACOAE80,0.0
SDPDS,0.0
FACOAE181,0.0
ICYSDSm,0.00044491200000000217
GLCATr,0.0
I2FE2SRm,0.00044491200000000217
ACKr,-0.9844254246515434
ECOAH2m,0.0
MAGAH160,0.0
PG1819Z160t,0.0
5AOPt2,0.0
6TINS5MPOR,0.0
BDHm,0.0
ACOAD1p,0.0
CYNTAH,0.0
ACOAR4m,0.0
A5PISO,0.0
COALDDH,0.0
5FLURAt,0.0
GLUN,0.0
GLYCLTDxm,0.0
GPDDA3,0.0
R5PP,0.0
AMPTASEPG,0.0
HACD3p,0.0
AATHA,0.0
BWCOS,0.0
OAADC,0.0
NTRIR2x,0.0
DOLPMT,0.0
ACPT1601819Z,0.0
FOLR2_1,0.0
CYTDH,0.0
SPMDAT1,0.0
GLYAT,0.0
SULO,0.0
DHFR,0.0011822000000000132
H2CO3D,0.0
SO4t2,-0.6174038763493169
ORNTAC,0.0
PRAIi,0.110564312
LIPATPTm,0.000571688
G3PD_u9cm,0.0
UDPGALOR,0.0
G1PP,0.0
DSERDHr,0.0
FCLPA,0.0
HPYRRx,0.0
FT,0.0
CBPSm,0.0
HXAND,0.0
ACOAR7m,0.0
ACPCS,0.0
MG3B,0.0
ACGS,0.0
ACACT3m,0.0
ANHMK,0.0
A1E,0.0
NADHXE,0.0
FORAMDx,0.0
MM2,0.0
MG1B,0.0
TM1819Z1819Z,0.0
CURR,0.0
MALTATr,0.0
E4PP,0.0
GUDBUTNAH,0.0
URATEt_1,0.0
MAGAH180,0.0
6MPURt,0.0
CHLSTI_1er,0.0
RU5PP,0.0
ARHGDx,0.0
MI13456PKn,0.0
PItn,0.0
NITR,0.0
OXOAEL,0.0
5DKGR,0.0
FACOAE60,0.0
ACOAD4p,0.0
NAMNPP,0.0
GPDDA4,0.0
ECOAH2p,0.0
TRPS2,0.0
MLTP1,0.0
URO,0.0
SERDC,0.0
